RPM,T2,T3,T4,T5,T8,T Oil,DP2,PT3,P4,PT5,PT8,Fuel Flow,Thrust
45000,20.7,72,466,459,492,71.523,27.379,46.7,43.3,5.5,3.4,0.00213,4.7
50000,20.8,82,456,440,485,73.9625,28.313,59.1,55.8,7.1,4.6,0.00233,5.9
55000,21.7,97,472,452,483,77.9558,29.841,71.6,68.2,8.7,6,0.00252,7.4
60000,21,122,477,456,490,81.8169,31.320,87.4,83.4,10.8,7.5,0.00280,8.8
65000,21,136,499,472,500,84.3766,32.299,106.9,102.6,13.4,9.5,0.00304,11.2
70000,21,153,540,501,511,86.8528,33.247,126.4,122.7,16.1,11.2,0.00330,13.2
75000,21,163,581,525,525,93.2366,35.691,153,149.7,19.7,13.4,0.00359,15.2
80000,21,183,627,558,543,97.1373,37.184,178.3,174.6,23.5,15.8,0.00401,16.2
