RPM,T2,T3,T4,T5,T8,T Oil,DP2,PT3,P4,PT5,PT8,Fuel Flow,Thrust
45140,21.9866,70.4513,508.55,500.1971,502.2827,73.9625,0.4228,47.9719,44.461,4.7768,2.8741,0.0021,2.8
49870,21.7192,76.7288,518.4544,492.9936,494.0679,71.523,0.5773,59.8412,56.1264,6,4.1041,0.0023,3.6
54890,21.5858,87.5608,510.5595,491.2963,498.6232,77.9558,0.751,74.3381,70.5326,7.7056,5.547,0.0025,4.3
60200,21.997,111.6313,559.2021,541.3042,512.201,81.8169,0.9475,90.8509,86.9322,9.8802,7.3523,0.0027,5.2
64850,22.1824,119.9741,576.8095,552.9328,520.119,84.3766,1.1708,109.0399,104.7135,12.0026,8.8563,0.0029,5.8
69670,21.7604,130.9246,590.4352,557.0909,534.3694,86.8528,1.5385,132.8239,128.1804,15.6766,11.0875,0.0032,7
75200,21.6942,137.3091,617.2153,581.8241,544.7389,93.2366,1.8249,155.498,150.6279,18.3699,12.8158,0.0035,8.2
80050,21.9721,158.663,667.9907,603.3286,556.8037,97.1373,2.1669,182.929,178.0136,22.5514,15.3188,0.0039,9.6
